"id","course_id","course_program_name","program_overview_order","program_overview_selected","selected_ids","status","createdOn","updatedOn"
"1","100","Program Overview","null","{
   ""program_overview"":[
      {
         ""refId"":1,
         ""icon"":""Ofline basecamps for networking-1599708702.png"",
         ""txt"":""Ofline basecamps for networking"",
         ""allowed"":1
      },
      {
         ""refId"":2,
         ""icon"":""Personalised resume feedback-1599708675.png"",
         ""txt"":""Personalised resume feedback"",
         ""allowed"":1
      },
      {
         ""refId"":3,
         ""icon"":""live-drafting-classes-of-relevant-contracts-such-as-joint-development-agreement-leave-and-license--commercial-leases-settlement-deed-channel-partner-agreements-etc-1614772483.svg"",
         ""txt"":""15 case studies and live projects"",
         ""allowed"":1
      },
      {
         ""refId"":4,
         ""icon"":""liveonlineclasses-1614939954.svg"",
         ""txt"":""Mock interviews by hiring mentors"",
         ""allowed"":1
      },
      {
         ""refId"":5,
         ""icon"":""hardcopystudymaterial-1614939811.svg"",
         ""txt"":""Certification Form"",
         ""allowed"":1
      }
   ],
   ""video_info"":{
      ""link"":""https:\/\/www.youtube.com\/watch?v=at-NmNf8dm8"",
      ""image"":""programm_files_3_1599669903.jpg""
   }
}","""1,2,3,4,5""","A","2020-09-09 18:05:45","2020-09-11 12:09:14"
"2","6","Key Highlight","null","{
   ""program_overview"":[
      {
         ""refId"":3,
         ""icon"":""liveonlineclasses-1614939954.svg"",
         ""txt"":""Reviewing a term sheet & transactional documents both from the seller and buyer\u2019s perspective and understanding the key considerations."",
         ""allowed"":1
      },
      {
         ""refId"":4,
         ""icon"":""Additional readings on the latest developments in the market and concepts being discussed.-1602750104.png"",
         ""txt"":""Additional readings on the latest developments in the market and concepts being discussed."",
         ""allowed"":1
      },
      {
         ""refId"":5,
         ""icon"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape.-1602750094.png"",
         ""txt"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape."",
         ""allowed"":1
      },
      {
         ""refId"":6,
         ""icon"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions.-1602750083.png"",
         ""txt"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions."",
         ""allowed"":1
      },
      {
         ""refId"":7,
         ""icon"":""Complete coverage of different concepts and laws related to mergers and acquisitions.-1602750070.png"",
         ""txt"":""Complete coverage of different concepts and laws related to mergers and acquisitions."",
         ""allowed"":1
      },
      {
         ""refId"":8,
         ""icon"":""Development of key practical skills like calculation of stamp duty, tax considerations, business considerations etc.-1602751231.png"",
         ""txt"":""Development of key practical skills like calculation of stamp duty, tax considerations, business considerations etc."",
         ""allowed"":1
      },
      {
         ""refId"":9,
         ""icon"":""Simulation case studies on preparing due diligence and reading important documents.-1602750036.png"",
         ""txt"":""Simulation case studies on preparing due diligence and reading important documents."",
         ""allowed"":1
      },
      {
         ""refId"":10,
         ""icon"":""Live drafting classes of key agreements like Share Subscription, Share Purchase, Joint Ventures, etc.-1602750024.png"",
         ""txt"":""Live drafting classes of key agreements like Share Subscription, Share Purchase, Joint Ventures, etc."",
         ""allowed"":1
      }
   ],
   ""video_info"":{
      ""link"":""https:\/\/www.youtube.com\/watch?v=at-NmNf8dm8"",
      ""image"":""video_1599708966.jpg""
   }
}","""3,4,5,6,7,8,9,10""","D","2020-09-10 09:06:06","2020-12-22 18:12:18"
"3","102","Program Overview","null","{
   ""program_overview"":[
      {
         ""refId"":1,
         ""icon"":""Ofline basecamps for networking-1599708702.png"",
         ""txt"":""Ofline basecamps for networking"",
         ""allowed"":1
      },
      {
         ""refId"":2,
         ""icon"":""Personalised resume feedback-1599708675.png"",
         ""txt"":""Personalised resume feedback"",
         ""allowed"":1
      },
      {
         ""refId"":3,
         ""icon"":""liveonlineclasses-1614939954.svg"",
         ""txt"":""Reviewing a term sheet & transactional documents both from the seller and buyer\u2019s perspective and understanding the key considerations."",
         ""allowed"":1
      },
      {
         ""refId"":4,
         ""icon"":""Additional readings on the latest developments in the market and concepts being discussed.-1602750104.png"",
         ""txt"":""Additional readings on the latest developments in the market and concepts being discussed."",
         ""allowed"":1
      },
      {
         ""refId"":5,
         ""icon"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape.-1602750094.png"",
         ""txt"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape."",
         ""allowed"":1
      },
      {
         ""refId"":6,
         ""icon"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions.-1602750083.png"",
         ""txt"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions."",
         ""allowed"":1
      },
      {
         ""refId"":7,
         ""icon"":""Complete coverage of different concepts and laws related to mergers and acquisitions.-1602750070.png"",
         ""txt"":""Complete coverage of different concepts and laws related to mergers and acquisitions."",
         ""allowed"":1
      },
      {
         ""refId"":8,
         ""icon"":""Development of key practical skills like calculation of stamp duty, tax considerations, business considerations etc.-1602751231.png"",
         ""txt"":""Development of key practical skills like calculation of stamp duty, tax considerations, business considerations etc."",
         ""allowed"":1
      },
      {
         ""refId"":9,
         ""icon"":""Simulation case studies on preparing due diligence and reading important documents.-1602750036.png"",
         ""txt"":""Simulation case studies on preparing due diligence and reading important documents."",
         ""allowed"":1
      },
      {
         ""refId"":10,
         ""icon"":""Live drafting classes of key agreements like Share Subscription, Share Purchase, Joint Ventures, etc.-1602750024.png"",
         ""txt"":""Live drafting classes of key agreements like Share Subscription, Share Purchase, Joint Ventures, etc."",
         ""allowed"":1
      }
   ],
   ""video_info"":{
      ""link"":""https:\/\/www.youtube.com\/watch?v=at-NmNf8dm8"",
      ""image"":""Untitled-5_1604143285.jpg""
   }
}","""1,2,3,4,5,6,7,8,9,10""","A","2020-10-31 16:51:25",NULL
"4","119","Program Overview","null","{""program_overview"":[{""refId"":1,""icon"":""Ofline basecamps for networking-1599708702.png"",""txt"":""Ofline basecamps for networking"",""allowed"":1},{""refId"":2,""icon"":""Personalised resume feedback-1599708675.png"",""txt"":""Personalised resume feedback"",""allowed"":1}]}","""1,2""","A","2020-12-28 18:25:44","2021-01-05 17:01:34"
"5","120","Program Overview","[""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10""]","{
   ""program_overview"":[
      {
         ""refId"":""1"",
         ""icon"":""Ofline basecamps for networking-1599708702.png"",
         ""txt"":""Ofline basecamps for networking""
      },
      {
         ""refId"":""2"",
         ""icon"":""Personalised resume feedback-1599708675.png"",
         ""txt"":""Personalised resume feedback""
      },
      {
         ""refId"":""3"",
         ""icon"":""liveonlineclasses-1614939954.svg"",
         ""txt"":""Reviewing a term sheet & transactional documents both from the seller and buyer\u2019s perspective and understanding the key considerations.""
      },
      {
         ""refId"":""4"",
         ""icon"":""Additional readings on the latest developments in the market and concepts being discussed.-1602750104.png"",
         ""txt"":""Additional readings on the latest developments in the market and concepts being discussed.""
      },
      {
         ""refId"":""5"",
         ""icon"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape.-1602750094.png"",
         ""txt"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape.""
      },
      {
         ""refId"":""6"",
         ""icon"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions.-1602750083.png"",
         ""txt"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions.""
      },
      {
         ""refId"":""7"",
         ""icon"":""Complete coverage of different concepts and laws related to mergers and acquisitions.-1602750070.png"",
         ""txt"":""Complete coverage of different concepts and laws related to mergers and acquisitions.""
      },
      {
         ""refId"":""8"",
         ""icon"":""Development of key practical skills like calculation of stamp duty, tax considerations, business considerations etc.-1602751231.png"",
         ""txt"":""Development of key practical skills like calculation of stamp duty, tax considerations, business considerations etc.""
      },
      {
         ""refId"":""9"",
         ""icon"":""Simulation case studies on preparing due diligence and reading important documents.-1602750036.png"",
         ""txt"":""Simulation case studies on preparing due diligence and reading important documents.""
      },
      {
         ""refId"":""10"",
         ""icon"":""Live drafting classes of key agreements like Share Subscription, Share Purchase, Joint Ventures, etc.-1602750024.png"",
         ""txt"":""Live drafting classes of key agreements like Share Subscription, Share Purchase, Joint Ventures, etc.""
      }
   ]
}",NULL,"D","2021-01-06 13:28:25",NULL
"6","6","Program Overview","""""","{""program_overview"":[{""refId"":212,""icon"":""onlinelearning-2-1637041720.png"",""txt"":""The course is aimed at four distinct professional groups:\nLaw graduates looking for a clear career direction in transactional practice\nLitigation lawyers seeking to shift from courtroom work to deal advisory\nCAs, CS, and bankers who want legal fluency alongside their financial expertise\nCapable professionals who feel overlooked and want a competitive edge\n"",""allowed"":1},{""refId"":214,""icon"":""design-1637041877.svg"",""txt"":""This course is spread across 10 modules and 50+ topics, the syllabus covers the entire M&A deal lifecycle from NDAs and LOIs to post-closing compliance, IBC-driven distressed acquisitions, and GCC-India cross-border transactions. Each module is backed by hands-on exercises, annotated sample documents, and practitioner-led feedback. Uniquely, the curriculum also integrates AI-enabled due diligence, VDR management, ESG diligence, and DPDP Act compliance,  areas now demanded in modern deal-making. \n"",""allowed"":1},{""refId"":215,""icon"":""ebook-1637041909.svg"",""txt"":""The course positions as the only M&A course in India covering the full transaction lifecycle, from first NDA to NCLT-approved merger schemes. Key differentiators include:\n100 live classes totalling 150 hours, versus no live classes offered by most competitors\nTwo full deal simulations: The Term Sheet Battle (Simulation 1) and M&A Deal Memo & Regulatory Strategy (Simulation 2)\n600 total training hours versus fewer than 30 hours in competing courses\nA 45-day money-back guarantee and dedicated placement and freelance support, including international remote work opportunities\nLawSikho has facilitated 21,000+ work opportunities between April 2021 and June 2023, totalling over USD 3,30,000 in secured work for learners.\n"",""allowed"":1},{""refId"":218,""icon"":""knowledge-1637042112.svg"",""txt"":""The benefits of learning in a systematic, step-by-step way by practicing skills in a safe space where you are not rebuked for making a mistake are immense. You can learn much faster and retain that learning much better. \n"",""allowed"":1},{""refId"":221,""icon"":""onlinelearning-3-1637042245.png"",""txt"":""If you do not have the theoretical legal foundation for doing this work, we will provide you materials and lectures to quickly catch up. Focus is on practical skills so you can do real legal work that is done in law firms, lawyer\u2019s chambers and legal departments in MNCs. For that, whatever you need to learn, we will teach you. \n"",""allowed"":1},{""refId"":222,""icon"":""management-1637042347.png"",""txt"":""Get one-on-one feedback on the quality of your work so you can improve week on week. Also you get to learn the underlying commercial aspects of various types of deals so that you can guide your clients effectively. \n"",""allowed"":1}]}","""212,214,215,218,221,222""","P","2021-01-21 09:21:04","2026-06-02 13:06:51"
"7","5","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""Ofline basecamps for networking-1599708702.png"",""txt"":""Development of key practical skills like performance of software- related due diligence, IP Audit, setting up online businesses, dealing with disparaging advertisements, dealing with cyber crimes, draft relevant contracts and user facing terms and conditions etc."",""allowed"":1},{""refId"":3,""icon"":""reviewing-a-term-sheet--transactional-documents-1615179013.svg"",""txt"":""Live drafting classes and assignments on drafting of key technology contracts across various technology industries."",""allowed"":1},{""refId"":4,""icon"":""additional-readings-on-the-latest-1615178800.svg"",""txt"":""Exercises on industry specific work such as Global GDPR compliance and audit, drafting of privacy policies for social media and other platforms, compliances related to intermediary liability etc."",""allowed"":1},{""refId"":5,""icon"":""exercises-on-current-transactions-1615178970.svg"",""txt"":""Covers the criminal aspect of the law like drafting online cyber complaints, defending clients, recovering monies from an online bank fraud etc."",""allowed"":1},{""refId"":6,""icon"":""anecdotal-discussions-by-our-industrial-1615178945.svg"",""txt"":""Complete overview of RBI regulation of the fintech sector including regulation of Payment Gateways, Digital Lending Platforms, P2P Lending along with drafting Fintech related agreements such as Payment Gateway Agreement, Payment Processing Agreement, Terms of Use for Payment and Digital Lending Platforms. "",""allowed"":1},{""refId"":7,""icon"":""complete-coverage-of-different-concepts-1615178924.svg"",""txt"":""In 50 weeks, learn how to draft and negotiate more than 30 Technology Contracts, learn how to consult on compliances, product offerings, Data Privacy considerations and more across various technology industries such as E-commerce, B2B SaaS, Social Media and Video Streaming Companies, Blockchain and Cryptocurrency, Drones etc. "",""allowed"":1},{""refId"":8,""icon"":""development-of-key-practical-skills-1615178900.svg"",""txt"":""We give weekly simulation exercises based on practical compliance, consulting and drafting related work across technology domains which will help you deliver when working for technology clients, with a law firm, working in-house or handling them independently. "",""allowed"":1},{""refId"":9,""icon"":""simulation-case-studies-on-preparing-1615178878.svg"",""txt"":""Learn how to work and consult around laws, regulations and policies in Niche Technology Domains such as Digital Gaming, Blockchain and Cryptocurrency, Drones, Artificial Intelligence, Health- Tech etc. "",""allowed"":1},{""refId"":10,""icon"":""live-drafting-classes-of-key-agreements-1615178859.svg"",""txt"":""Attend one to two live sessions a week for one year, and work on real life realistic assignments that develop your legal brain and insights."",""allowed"":1},{""refId"":17,""icon"":""segmentation-of-contracts-as-per-1615178606.svg"",""txt"":""Learn practical insights from industry experts, some of them with decades of experience, and get your doubts cleared on the spot."",""allowed"":1}]}","""1,3,4,5,6,7,8,9,10,17""","A","2021-01-21 10:40:15","2023-07-21 14:07:28"
"8","121","Program Overview","null","{
   ""program_overview"":[
      {
         ""refId"":1,
         ""icon"":""Ofline basecamps for networking-1599708702.png"",
         ""txt"":""Ofline basecamps for networking"",
         ""allowed"":1
      },
      {
         ""refId"":2,
         ""icon"":""Personalised resume feedback-1599708675.png"",
         ""txt"":""Personalised resume feedback"",
         ""allowed"":1
      },
      {
         ""refId"":3,
         ""icon"":""liveonlineclasses-1614939954.svg"",
         ""txt"":""Reviewing a term sheet & transactional documents both from the seller and buyer\u2019s perspective and understanding the key considerations."",
         ""allowed"":1
      },
      {
         ""refId"":4,
         ""icon"":""Additional readings on the latest developments in the market and concepts being discussed.-1602750104.png"",
         ""txt"":""Additional readings on the latest developments in the market and concepts being discussed."",
         ""allowed"":1
      },
      {
         ""refId"":5,
         ""icon"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape.-1602750094.png"",
         ""txt"":""Exercises on current transactions in newspapers and the impact of Covid-19 on the mergers and acquisitions landscape."",
         ""allowed"":1
      },
      {
         ""refId"":6,
         ""icon"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions.-1602750083.png"",
         ""txt"":""Anecdotal discussions by our industrial academia panel about their experience in similar transactions."",
         ""allowed"":1
      },
      {
         ""refId"":7,
         ""icon"":""Complete coverage of different concepts and laws related to mergers and acquisitions.-1602750070.png"",
         ""txt"":""Complete coverage of different concepts and laws related to mergers and acquisitions."",
         ""allowed"":1
      }
   ]
}","""1,2,3,4,5,6,7""","A","2021-01-26 10:58:38","2021-03-05 15:03:43"
"9","122","Program Overview","""""","{""program_overview"":[{""refId"":4,""icon"":""additional-readings-on-the-latest-1615178800.svg"",""txt"":""The program caters to a diverse audience, including top management of multinational companies, business leaders, lawyers, law students, and management consultants. It aims to equip them with the knowledge and skills necessary for navigating international transactions and regulatory environments."",""allowed"":1},{""refId"":6,""icon"":""anecdotal-discussions-by-our-industrial-1615178945.svg"",""txt"":""The course emphasizes practical learning by incorporating exercises and simulations that mirror real-world scenarios. This hands-on approach helps participants develop the skills needed to handle complex international business transactions."",""allowed"":1},{""refId"":8,""icon"":""development-of-key-practical-skills-1615178900.svg"",""txt"":""This course, offered in association with Webster University Geneva, covers a wide range of topics related to international business law, including legal systems, entry strategies, advanced contract drafting, negotiation, dispute resolution, and more."",""allowed"":1},{""refId"":20,""icon"":""Exercises and Training on dispute resolution of contracts involving litigation, arbitration and choosing the right fora of adjudication.-1611209015.svg"",""txt"":""The curriculum delves into crucial considerations for entering new markets, such as different modes of entry, foreign investment legislations, taxation, labor laws, and intellectual property regulations."",""allowed"":1},{""refId"":28,""icon"":""Live drafting classes of relevant contracts such as joint development agreement, leave and license,  commercial leases, settlement deed, channel partner agreements etc.-1611209804.svg"",""txt"":""Live drafting classes of relevant contracts such as joint development agreement, leave and license,  commercial leases, settlement deed, channel partner agreements etc."",""allowed"":1},{""refId"":42,""icon"":""learn-how-to-conduct-disciplinary-proceedings-1615186170.svg"",""txt"":""Unlike many resources that cover only specific aspects of international business law, this program offers a comprehensive training that addresses a wide range of topics, eliminating the need to seek out multiple resources for different skill requirements."",""allowed"":1},{""refId"":143,""icon"":""onlineclass-2-1622272133.svg"",""txt"":""Students have the unique opportunity to learn from top US faculties, lawyers, and global experts. This networking can open up new opportunities and provide valuable insights for those looking to expand their careers in international business law."",""allowed"":1},{""refId"":156,""icon"":""meeting-1-1622529613.svg"",""txt"":""The program goes beyond knowledge and skills, providing dedicated support for placements, internships, and freelance opportunities. This support includes CV enhancement, mock interviews, and guidance during the critical initial phase of internships or jobs."",""allowed"":1},{""refId"":226,""icon"":""presentation-1-1637042635.png"",""txt"":""Webster University, known for its strong international presence and high job placement rate, brings a global perspective to the course. Classes conducted by Webster faculty and other experts enhance the quality of education."",""allowed"":1}]}","""4,6,8,20,28,42,143,156,226""","P","2021-02-03 16:15:42","2023-10-06 16:10:40"
"10","123","Program Overview","null","{""program_overview"":[{""refId"":25,""icon"":""Development of key practical skills like drafting a cyber complaint, remedying of online payment frauds, dealing with web-based intellectual property disputes, etc.-1611209287.svg"",""txt"":""Development of key practical skills like drafting a cyber complaint, remedying online payment frauds, dealing with web-based intellectual property disputes, etc."",""allowed"":1}]}","""25""","P","2021-02-05 13:37:21","2021-04-02 13:04:47"
