"id","course_id","module_id","chapter_name","chapter_description","added_date","modified_date","status"
"1","1","1","Sole proprietorship as a business structure for startups",,"2019-10-17 03:04:05",NULL,"A"
"2","1","1","Structuring of family business","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Optimal structure for family business</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Taxation issues</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Partition and family settlement</p>","2019-10-17 03:04:29",NULL,"A"
"3","1","1","Structuring a Partnership / LLP","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Co-founders agreement</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Basics of Partnership and partnership deed, registration procedures, dissolution</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Basics of LLP and LLP Agreement, steps of incorporation, annual and periodic compliances, winding up</p>","2019-10-17 03:04:49",NULL,"A"
"4","1","1","Structuring a company","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">One person company</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Advantages of company</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Steps for incorporation</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Annual compliances</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Conversion of business from one form to another</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">MCA processes for inspection and clarifications</p>","2019-10-17 03:05:14",NULL,"A"
"5","1","1","Non-profit businesses","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Procedure and key issues for incorporation of a trust/society / non-profit company</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Tax benefits for a non-profit entity</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Structuring of a non-profit entity</p>","2019-10-17 03:05:36",NULL,"A"
"6","1","1","Startups and Early stage businesses","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">MSMED Act</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Advantages of registration</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Registration process</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Money recovery procedures for startups</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Dispute resolution mechanisms</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Benefits under SME procurement policy</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Sample disclosure to be made under MSMED Act</p>","2019-10-17 03:05:58",NULL,"A"
"7","1","2","Accounts for business","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Elementary accounting and record keeping for various forms of business entities (for a person who is not trained in finance)</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Accounting and the Law</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Financial planning for a business</p>","2019-10-17 03:06:41",NULL,"A"
"8","1","2","Corporate taxation","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Corporate income tax</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Minimum Alternate Tax (MAT)</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">taxation of software product and SAAS companies</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">tax on issue of capital (e.g. equity, bonus shares and convertible instruments)to different entities</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">transfer pricing</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Tax deduction at source</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Taxation of Software</p>","2019-10-17 03:07:00",NULL,"A"
"9","1","2","Goods and Service Tax (GST)","<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Indirect taxes: Introduction to GST</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">How to Determine GST Applicability To You</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">GST Framework - Dual GST, State GST, Central GST, Integrated GST</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">GST Registration Process (Who should register and when, registration process, Consequences of non-registration)</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Advantages of working with GST registered company/vendors</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">How to calculate GST Rates for your Products / Services</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Best Practices for GST Invoices</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">How to make GST payment</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Input tax credit law</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Composition scheme in GST</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">How to obtain GST Refunds and Rebates</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Exemptions from GST</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Compliance requirements and filing of returns</p>

<p _ngcontent-c35="""" class=""my-2 ml-16 sm:ml-4 text-base"">Impact of GST on import-export transactions</p>","2019-10-17 03:07:28",NULL,"A"
"10","2","3","General Principles of Contract Law",,"2019-10-23 05:30:27",NULL,"A"
