id,course_name,url_mask,status,ap_id
395,Maharashtra Civil JUDICIARY EXAMINATION -2026 Civil Judiciary Prelims Mock Test Series,maharashtra-civil-judiciary-examination--2026-civil-judiciary-prelims-mock-test-series,A,376
394,"JHARKHAND JUDICIAL SERVICES, 2026:  MAINS TEST SERIES",jharkhand-judicial-services-2026--mains-test-series,A,375
393,"JAMMU & KASHMIR PROSECUTING OFFICER, 2026:  MAINS TEST SERIES",jammu--kashmir-prosecuting-officer-2026--mains-test-series,A,374
392,ODISHA JUDICIAL SERVICE EXAMINATION -2026 Civil Judiciary Prelims Mock Test Series,odisha-judicial-service-examination--2026-civil-judiciary-prelims-mock-test-series,A,373
389,BIHAR ASSISTANT PROSECUTOR EXAMINATION -2026,bihar-assistant-prosecutor-examination--2026,A,371
388,UGC NET/JRF (Law) Exam Mock Test Series 2026,ugc-netjrf-law-exam-mock-test-series-2026,A,370
387,Haryana Assistant District  Attorney  2026 Prelims Mock Test Series,haryana-assistant-district--attorney--2026-prelims-mock-test-series,A,369
386,KERALA JUDICIAL SERVICE EXAMINATION -2026 Civil Judiciary Prelims Mock Test Series,kerala-judicial-service-examination--2026-civil-judiciary-prelims-mock-test-series,A,368
385,Jammu & Kashmir Prosecuting Officer 2026 Prelims Mock Test Series,jammu--kashmir-prosecuting-officer-2026-prelims-mock-test-series,A,367
384,Bihar Civil Judiciary 2026 Prelims Mock Test Series,bihar-civil-judiciary-2026-prelims-mock-test-series,A,366
383,"TELANGANA JUDICIAL SERVICES, 2025 :  MAINS TEST SERIES",telangana-judicial-services-2025---mains-test-series,A,365
382,"UTTAR PRADESH ASSISTANT PROSECUTION OFFICER, 2025 :  MAINS TEST SERIES",uttar-pradesh-assistant-prosecution-officer-2025---mains-test-series,A,364
381,Uttar Pradesh Assistant Prosecution Officer Prelims  Mock Test Series,uttar-pradesh-assistant-prosecution-officer-prelims--mock-test-series,A,363
380,CUET PG (LLM)  Mock Test Series 2026,cuet-pg-llm--mock-test-series-2026,A,362
378,SEBI Grade A General Stream Officer Exam Phase II Mock Test Series,sebi-grade-a-general-stream-officer-exam-phase-ii-mock-test-series,A,361
377,West Bengal Judiciary Prelims Mock Test Series,west-bengal-judiciary-prelims-mock-test-series,A,360
376,Telangana Judiciary Prelims 2025 Mock Test Series,telangana-judiciary-prelims-2025-mock-test-series,A,359
375,SEBI Grade A Legal Officer Exam Phase II Mock Test Series,sebi-grade-a-legal-officer-exam-phase-ii-mock-test-series,A,358
374,IBPS RRB SO Law Officer Scale II (XIV 2025-26) Examination Mock Test Series,ibps-rrb-so-law-officer-scale-ii-xiv-2025-26-examination-mock-test-series,A,357
373,"WEST BENGAL JUDICIAL SERVICES, 2023 :  MAINS TEST SERIES",west-bengal-judicial-services-2023---mains-test-series,A,356
371,"Assistant Public Prosecutor in Central Bureau of Investigation, Mock Test Series",assistant-public-prosecutor-in-central-bureau-of-investigation-mock-test-series,A,354
369,UGC NET/JRF (Law) Exam Mock Test Series 2025,ugc-netjrf-law-exam-mock-test-series-2025,A,352
367,(6 Months) Executive Certificate Course in Advanced Criminal Litigation & White Collar Crime Advocacy,executive-certificate-course-in-advanced-criminal-litigation--white-collar-crime-advocacy,A,350
366,All India Bar Examination (XX ) Mock Test Series,all-india-bar-examination-xx--mock-test-series,A,349
365,Telangana Assistant Public Prosecutor Prelims Mock Test Series,telangana-assistant-public-prosecutor-prelims-mock-test-series,A,348
364,SEBI Grade-A Legal Officer Exam Mock Test Series,sebi-grade-a-legal-officer-exam-mock-test-series,A,347
362,IBPS SO  Law Officer  2026-27  Mains Mock Test Series,ibps-so--law-officer--2026-27--mains-mock-test-series,A,346
361,"KARNATAKA JUDICIAL SERVICES, 2025 :  MAINS TEST SERIES",karnataka-judicial-services-2025---mains-test-series,A,345
360,"Assistant District Attorney in Prosecution Department, Haryana Prelims Mock Test Series",assistant-district-attorney-in-prosecution-department-haryana-prelims-mock-test-series,A,344
358,"CHHATTISGARH JUDICIAL SERVICES, 2025 :  MAINS TEST SERIES",chhattisgarh-judicial-services-2025---mains-test-series,A,342
357,Jharkhand Assistant Prosecution Officer Prelims Mock Test Series 2025,jharkhand-assistant-prosecution-officer-prelims-mock-test-series-2025,A,341
356,Haryana ADA Exam 2025 Preparation Course,haryana-ada-exam-2025-preparation-course,A,340
355,Assistant Public Prosecutor in Andhra Pradesh State Prosecution Department Prelims (Objective) Mock Test Series,assistant-public-prosecutor-in-andhra-pradesh-state-prosecution-department-prelims-objective-mock-test-series,A,339
245,Independent Directors’ Professional Development Program,training-program-to-crack-the-independent-directors’-exam,A,233
